Month,Avg Players,Peak Players
24-Jan,"160,228.80","297,492"
23-Dec,"131,807.80","258,536"
23-Nov,"100,508.30","202,546"
23-Oct,"148,108.00","333,010"
23-Sep,"272,089.90","584,548"
23-Aug,"450,982.30","875,343"
23-Jul,"11,755.50","32,315"
23-Jun,"2,106.60","4,271"
23-May,"1,965.70","3,612"
23-Apr,"2,441.70","4,716"
23-Mar,"2,423.70","5,106"
23-Feb,"2,139.10","4,676"
23-Jan,"3,120.60","7,184"
22-Dec,"3,668.50","10,965"
22-Nov,"1,101.60","2,142"
22-Oct,"1,230.90","2,457"
22-Sep,"1,307.70","2,630"
22-Aug,"1,844.30","3,870"
22-Jul,"2,916.10","7,577"
22-Jun,"1,071.10","2,014"
22-May,"1,072.00","2,008"
22-Apr,"1,206.80","2,256"
22-Mar,"1,361.40","2,907"
22-Feb,"2,073.70","5,816"
22-Jan,"1,586.70","3,101"
21-Dec,"1,495.90","2,792"
21-Nov,"2,225.30","4,611"
21-Oct,"3,647.80","11,903"
21-Sep,"1,824.10","3,220"
21-Aug,"2,036.10","3,851"
21-Jul,"2,270.50","6,939"
21-Jun,"1,273.50","2,405"
21-May,"1,581.70","2,956"
21-Apr,"1,967.60","3,756"
21-Mar,"3,565.80","8,790"
21-Feb,"2,424.00","10,693"
21-Jan,"2,212.60","4,138"
20-Dec,"2,670.60","6,785"
20-Nov,"4,834.80","15,256"
20-Oct,"16,792.40","48,418"
